ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
1,20000,2,2,1,24,2,2,-1,-1,-2,-2
2,120000,2,2,2,26,-1,2,0,0,0,2
3,90000,2,2,2,34,0,0,0,0,0,0
4,50000,2,2,1,37,0,0,0,0,0,0
5,50000,1,2,1,57,-1,0,-1,0,0,0
6,50000,1,1,2,37,0,0,0,0,0,0
7,500000,1,1,2,29,0,0,0,0,0,0
8,100000,2,2,2,23,0,-1,-1,0,0,-1
9,140000,2,3,1,28,0,0,2,0,0,0
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1
11,200000,2,3,2,34,0,0,2,0,0,-1
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1
14,70000,1,2,2,30,1,2,2,0,0,2
15,250000,1,1,2,29,0,0,0,0,0,0
16,50000,2,3,3,23,1,2,0,0,0,0
17,20000,1,1,2,24,0,0,2,2,2,2
18,320000,1,1,1,49,0,0,0,-1,-1,-1
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2
21,130000,2,3,2,39,0,0,0,0,0,-1
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1
23,70000,2,2,2,26,2,0,0,2,2,2
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2
25,90000,1,1,2,23,0,0,0,-1,0,0
26,50000,1,3,2,23,0,0,0,0,0,0
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1
28,50000,2,3,2,30,0,0,0,0,0,0
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1
30,50000,1,1,2,26,0,0,0,0,0,0
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1
32,50000,1,2,2,33,2,0,0,0,0,0
33,100000,1,1,2,32,0,0,0,0,0,0
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1
37,280000,1,2,1,40,0,0,0,0,0,0
38,60000,2,2,2,22,0,0,0,0,0,-1
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2
40,280000,1,1,2,31,-1,-1,2,-1,0,-1
41,360000,1,1,2,33,0,0,0,0,0,0
42,70000,2,1,2,25,0,0,0,0,0,0
43,10000,1,2,2,22,0,0,0,0,0,0
44,140000,2,2,1,37,0,0,0,0,0,0
45,40000,2,1,2,30,0,0,0,2,0,0
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2
47,20000,2,1,2,22,0,0,2,-1,0,0
48,150000,2,5,2,46,0,0,-1,0,0,-2
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1
50,20000,1,1,2,24,0,0,0,0,0,0
51,70000,1,3,2,42,1,2,2,2,2,0
52,100000,2,3,3,43,0,0,0,0,0,0
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2
54,180000,2,1,2,25,1,2,0,0,0,0
55,150000,2,1,2,29,2,0,0,0,0,0
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2
57,180000,2,3,1,34,0,0,0,-1,-1,-1
58,180000,2,2,1,34,0,0,0,0,0,0
59,200000,2,1,2,34,-1,3,2,2,2,2
60,400000,2,2,1,29,0,0,0,0,0,0
61,500000,2,3,1,28,0,0,0,0,0,0
62,70000,1,2,1,39,0,0,0,0,0,-1
63,50000,1,1,2,29,2,2,2,2,2,2
64,50000,2,2,1,46,0,0,0,-2,-2,-2
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1
66,200000,1,1,1,57,-2,-2,-2,-1,2,2
67,10000,1,2,1,56,2,2,2,0,0,0
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1
69,130000,2,3,2,29,1,-2,-2,-1,2,-1
70,20000,1,5,2,22,2,0,0,0,0,0
71,80000,1,1,2,31,-1,-1,-1,-1,-1,-1
72,320000,1,2,2,29,2,2,2,2,2,2
73,200000,2,2,1,32,-1,-1,-1,-1,2,-1
74,290000,2,1,2,37,1,-2,-1,-1,-1,-1
75,340000,1,1,2,32,-1,-1,-1,-1,-1,-1
76,20000,1,2,2,24,0,0,2,0,0,0
77,50000,1,3,2,25,-1,0,0,0,0,0
78,300000,2,1,1,45,-1,-1,-1,-1,-1,-1
79,30000,2,2,2,22,0,0,0,0,0,0
80,240000,2,2,2,44,1,-2,-2,-2,-2,-2
81,470000,2,3,3,33,0,0,0,0,0,0
82,360000,2,1,2,26,0,0,0,0,0,-1
83,60000,1,3,2,30,0,0,0,0,0,0
84,400000,2,2,1,44,0,0,2,0,0,0
85,50000,2,3,2,49,0,0,0,0,0,0
86,160000,1,2,2,33,0,0,0,0,0,0
87,360000,2,1,1,45,-1,-1,2,0,-1,-1
88,160000,2,2,2,32,0,0,0,0,0,-1
89,130000,2,1,1,35,0,0,0,-1,-1,-1
90,20000,1,3,2,44,2,2,0,0,0,2
91,200000,1,1,1,53,2,2,2,2,2,2
92,280000,2,1,2,39,-1,-1,-1,0,0,-2
93,100000,2,1,2,27,-2,-2,-2,-2,-2,-2
94,160000,2,2,1,37,-1,-1,-1,-1,-1,-2
95,60000,2,2,2,23,0,0,0,0,0,0
96,90000,1,2,2,35,0,0,0,0,0,0
97,360000,1,1,1,43,-1,-1,-1,-1,-1,0
98,150000,1,1,2,27,0,0,0,0,0,0
99,50000,2,3,1,22,0,0,0,0,0,0
100,20000,1,2,1,38,0,0,0,0,0,-1
101,140000,1,1,2,32,-2,-2,-2,-2,-2,-2
102,380000,2,1,2,30,-2,-2,-1,0,0,0
103,480000,1,1,1,63,0,0,0,2,2,0
104,50000,2,3,2,22,0,0,0,0,0,0
105,60000,2,2,2,26,2,2,2,2,2,0
106,70000,2,2,2,24,-1,-1,-2,-2,-2,-1
107,80000,2,2,1,36,-1,-1,-1,-1,-1,-1
108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1
109,130000,1,2,2,38,0,0,0,-1,-1,-1
110,360000,1,2,1,35,1,-2,-2,-2,-2,-2
111,330000,2,1,1,31,0,0,2,0,0,0
112,50000,1,3,1,47,0,0,2,0,0,0
113,280000,1,2,1,41,2,2,2,2,2,3
114,100000,2,1,2,24,0,0,0,0,0,0
115,50000,1,2,2,41,0,0,0,0,0,0
