index,Age,Prime mensuelle,Categorie socio professionnelle,Kilometres parcourus par mois,Coefficient bonus malus,Type de vehicule,Score CRM,Niveau de vie,Marque,Salaire annuel,Score credit,Cout entretien annuel,Benefice net annuel
1000,19.0,16.0,Cadre,746,108,Utilitaire,121,4956,Toyota,31600,401,756,54.3815463062
1001,21.0,14.0,Cadre,694,106,5 portes,125,4531,Opel,34900,833,719,5.84311150728
1002,29.0,13.0,Cadre,740,110,5 portes,140,9541,,62820,890,1027,2.83472850657
1003,33.0,2.0,Etudiant,970,99,5 portes,132,6536,Citroen,45450,990,964,10.8126566323
1004,23.0,6.0,Ouvrier,408,100,5 portes,127,10985,Volkswagen,74270,647,768,-1.76404640354
1005,29.0,20.0,Ouvrier,429,122,5 portes,158,7366,Citroen,46160,754,687,7.64900739764
1006,48.0,2.0,Etudiant,875,120,3 portes,169,2872,Renault,22450,44,707,-7.25184847153
1007,25.0,32.0,Sans emploi,577,69,3 portes,108,6210,Peugeot,46330,235,750,-11.4163653977
1008,45.0,8.0,Etudiant,204,106,SUV,150,1874,Citroen,11630,215,676,28.1336648201
1009,54.0,17.0,Etudiant,916,106,SUV,167,6354,Peugeot,48090,12,753,46.7698535369
1010,35.0,3.0,Etudiant,910,113,5 portes,137,4580,Volkswagen,34620,163,667,13.9333689293
1011,39.0,20.0,Ouvrier,507,68,SUV,100,3044,Renault,21710,396,698,26.7465757507
1012,39.0,11.0,Ouvrier,509,75,SUV,115,5825,Opel,40230,557,657,24.4623316729
1013,,4.0,Etudiant,972,93,5 portes,133,6712,Renault,51340,246,781,9.35982688493
1014,38.0,31.0,Cadre,468,101,Utilitaire,141,838,Toyota,7210,378,725,45.4649654243
1015,,9.0,Cadre,298,83,5 portes,111,11452,Citroen,78130,628,654,-1.01165692032
1016,31.0,46.0,Cadre,739,116,5 portes,140,3320,Peugeot,18540,625,719,12.1413021931
1017,26.0,2.0,Cadre,409,115,5 portes,147,3500,Peugeot,31360,708,879,9.03931026494
1018,29.0,2.0,Cadre,336,109,SUV,137,3219,Renault,17970,419,821,22.1094530819
1019,42.0,18.0,Cadre,742,112,5 portes,154,1835,Volkswagen,9770,652,806,17.1664812194
1020,62.0,17.0,Etudiant,260,82,SUV,140,4284,Citroen,33780,822,723,28.8341126135
1021,45.0,4.0,Ouvrier,993,97,3 portes,143,3432,Renault,29160,255,974,-19.3080755684
1022,23.0,18.0,Etudiant,386,65,SUV,89,2751,Renault,17800,689,736,24.8436821092
1023,36.0,42.0,Etudiant,491,114,Utilitaire,146,3519,Citroen,26100,643,815,48.6687417525
1024,28.0,12.0,Cadre,948,116,SUV,138,2183,Peugeot,14810,379,578,42.8922650998
1025,32.0,25.0,Travailleur non salarie,696,105,3 portes,137,3906,,24340,382,962,-10.8672592334
1026,27.0,11.0,Travailleur non salarie,207,84,Utilitaire,106,3744,Renault,27510,883,832,22.0374314777
1027,169.0,23.0,Etudiant,939,100,5 portes,114,3790,Peugeot,25970,913,810,6.09976222214
