index,Age,Prime mensuelle,Categorie socio professionnelle,Kilometres parcourus par mois,Coefficient bonus malus,Type de vehicule,Score CRM,Niveau de vie,Marque,Salaire annuel,Score credit,Cout entretien annuel,Benefice net annuel
1000,19.0,16.0,Cadre,746,108,Utilitaire,121,4956,Toyota,31600,401,756,54.4300300608
1001,21.0,14.0,Cadre,694,106,5 portes,125,4531,Opel,34900,833,719,5.79537232023
1002,29.0,13.0,Cadre,740,110,5 portes,140,9541,,62820,890,1027,2.46431304073
1003,33.0,2.0,Etudiant,970,99,5 portes,132,6536,Citroen,45450,990,964,10.9279367511
1004,23.0,6.0,Ouvrier,408,100,5 portes,127,10985,Volkswagen,74270,647,768,-1.69738669834
1005,29.0,20.0,Ouvrier,429,122,5 portes,158,7366,Citroen,46160,754,687,7.54701519254
1006,48.0,2.0,Etudiant,875,120,3 portes,169,2872,Renault,22450,44,707,-7.28472864576
1007,25.0,32.0,Sans emploi,577,69,3 portes,108,6210,Peugeot,46330,235,750,-11.3648113726
1008,45.0,8.0,Etudiant,204,106,SUV,150,1874,Citroen,11630,215,676,28.0394405586
1009,54.0,17.0,Etudiant,916,106,SUV,167,6354,Peugeot,48090,12,753,46.8650267872
1010,35.0,3.0,Etudiant,910,113,5 portes,137,4580,Volkswagen,34620,163,667,14.0086343496
1011,39.0,20.0,Ouvrier,507,68,SUV,100,3044,Renault,21710,396,698,26.7826277448
1012,39.0,11.0,Ouvrier,509,75,SUV,115,5825,Opel,40230,557,657,24.4514870111
1013,,4.0,Etudiant,972,93,5 portes,133,6712,Renault,51340,246,781,9.55527458002
1014,38.0,31.0,Cadre,468,101,Utilitaire,141,838,Toyota,7210,378,725,45.5586385046
1015,,9.0,Cadre,298,83,5 portes,111,11452,Citroen,78130,628,654,-1.2555045763
1016,31.0,46.0,Cadre,739,116,5 portes,140,3320,Peugeot,18540,625,719,12.2832371944
1017,26.0,2.0,Cadre,409,115,5 portes,147,3500,Peugeot,31360,708,879,8.97748823955
1018,29.0,2.0,Cadre,336,109,SUV,137,3219,Renault,17970,419,821,22.2672749919
1019,42.0,18.0,Cadre,742,112,5 portes,154,1835,Volkswagen,9770,652,806,17.273567306
1020,62.0,17.0,Etudiant,260,82,SUV,140,4284,Citroen,33780,822,723,28.8832951021
1021,45.0,4.0,Ouvrier,993,97,3 portes,143,3432,Renault,29160,255,974,-19.2366777443
1022,23.0,18.0,Etudiant,386,65,SUV,89,2751,Renault,17800,689,736,24.773917248
1023,36.0,42.0,Etudiant,491,114,Utilitaire,146,3519,Citroen,26100,643,815,48.6064990685
1024,28.0,12.0,Cadre,948,116,SUV,138,2183,Peugeot,14810,379,578,42.9717677459
1025,32.0,25.0,Travailleur non salarie,696,105,3 portes,137,3906,,24340,382,962,-10.8937399715
1026,27.0,11.0,Travailleur non salarie,207,84,Utilitaire,106,3744,Renault,27510,883,832,22.0237513088
1027,169.0,23.0,Etudiant,939,100,5 portes,114,3790,Peugeot,25970,913,810,6.05497426988
1028,19.0,7.0,Ouvrier,462,113,3 portes,132,1561,Peugeot,9270,272,603,-3.44778007096
1029,54.0,28.0,Etudiant,312,81,3 portes,135,1592,Opel,8050,887,738,13.0236036642
1030,42.0,4.0,Etudiant,404,102,Utilitaire,148,2813,Renault,13550,713,842,46.7358604128
1031,31.0,15.0,Etudiant,648,110,5 portes,143,5234,Citroen,30710,341,1010,14.0208576701
1032,23.0,55.0,Sans emploi,809,88,SUV,120,7597,,52340,714,736,32.3007941224
1033,,9.0,Etudiant,633,91,3 portes,126,2376,Peugeot,17460,926,922,-3.96565154019
1034,35.0,19.0,Sans emploi,587,117,SUV,145,6051,Renault,34090,562,772,33.8659038261
1035,24.0,12.0,Etudiant,804,111,3 portes,127,6224,Renault,41340,686,746,-16.2173577674
1036,32.0,17.0,Cadre,944,120,5 portes,144,4252,Citroen,28280,540,891,10.7049669447
1037,25.0,27.0,Cadre,592,103,5 portes,125,10939,Peugeot,80410,833,587,-2.74273788535
1038,35.0,39.0,Etudiant,276,85,SUV,116,2954,Toyota,17970,128,893,24.008020931
1039,24.0,22.0,Sans emploi,311,99,SUV,116,5470,Citroen,41000,318,714,19.5345994371
1040,26.0,4.0,Ouvrier,946,90,SUV,119,1799,Peugeot,14190,697,817,41.2956555226
1041,45.0,1.0,Etudiant,950,96,5 portes,143,5918,,46080,673,847,14.0156960474
1042,18.0,11.0,Ouvrier,784,107,SUV,118,802,Peugeot,7420,330,689,35.5131740265
1043,26.0,11.0,Etudiant,686,122,3 portes,140,945,Volkswagen,6400,179,772,-3.92137702059
1044,38.0,2.0,Travailleur non salarie,900,102,5 portes,144,5259,Volkswagen,42040,836,904,9.65431994287
1045,23.0,21.0,Etudiant,828,127,3 portes,145,2794,,22680,335,887,-12.3219824941
1046,21.0,1.0,Cadre,779,80,SUV,98,8129,Peugeot,57180,599,715,25.4355683465
1047,31.0,12.0,Travailleur non salarie,639,97,SUV,121,1719,Renault,16430,66,685,32.1855063992
1048,29.0,11.0,Cadre,778,100,5 portes,129,10367,Peugeot,76930,489,801,-0.808927902078
1049,37.0,36.0,Etudiant,485,69,5 portes,98,5292,Renault,39940,64,853,10.9495139516
1050,45.0,19.0,Travailleur non salarie,885,76,5 portes,123,3794,Renault,31460,747,944,11.9949553894
1051,26.0,47.0,Ouvrier,842,95,SUV,125,3874,Volkswagen,24980,551,724,35.1435104777
1052,55.0,48.0,Ouvrier,637,102,5 portes,149,3154,Renault,25540,948,767,16.4916416499
1053,41.0,5.0,Etudiant,249,106,SUV,151,2222,Citroen,12880,579,931,28.5342596938
1054,26.0,16.0,Etudiant,524,101,3 portes,128,2709,Peugeot,15740,25,854,-1.3928711467
1055,28.0,15.0,Cadre,576,95,5 portes,123,1875,Peugeot,17300,381,904,10.9463409169
1056,28.0,23.0,Ouvrier,340,80,SUV,114,2141,Peugeot,14850,516,671,21.555234291
1057,48.0,16.0,Etudiant,676,101,Utilitaire,146,3977,Peugeot,29510,147,1044,62.0024664527
1058,31.0,9.0,Cadre,227,124,5 portes,148,2595,Peugeot,22130,13,893,11.7497629506
1059,26.0,12.0,Cadre,429,107,3 portes,134,6170,Renault,44360,390,697,-8.68147196301
1060,21.0,42.0,Cadre,319,90,SUV,106,4607,Opel,33090,68,993,14.9769930239
1061,28.0,9.0,Sans emploi,641,102,SUV,132,9028,Toyota,60720,476,778,29.3343524082
1062,40.0,18.0,Cadre,308,106,SUV,146,6860,Toyota,44450,537,781,19.5192624211
1063,18.0,29.0,Cadre,345,119,3 portes,133,4180,Renault,33100,257,911,-4.9311342523
1064,45.0,40.0,Ouvrier,964,92,5 portes,140,2550,Toyota,19270,682,995,15.3096949565
1065,37.0,12.0,Cadre,407,107,5 portes,143,1098,Citroen,5840,689,930,16.6918682504
1066,42.0,6.0,Ouvrier,617,108,Utilitaire,145,2901,Peugeot,16200,922,853,54.9288015456
1067,51.0,13.0,Ouvrier,386,96,5 portes,149,914,Renault,14920,179,859,17.5161378497
1068,27.0,64.0,Etudiant,219,99,5 portes,120,2587,Renault,13650,706,753,15.4660812291
1069,22.0,19.0,Etudiant,772,94,5 portes,119,1154,Peugeot,8670,73,797,14.9950872268
1070,21.0,18.0,Etudiant,492,101,Utilitaire,122,4266,Peugeot,24520,715,616,43.6926221967
